X,Y,Z,azimuth,dip,polarity,G_x,G_y,G_z,formation,uncertainty
781666.574,6346370.528,197.37374,218.0,16.0,1,-0.16969930113615708,-0.21720520047851768,0.9612616959393188,Triassic,a
781986.4670000001,6347397.987000001,378.91253,210.0,10.0,1,-0.08682408883246517,-0.15038373317943526,0.9848077530132081,Triassic,a
786226.4809999999,6345006.262999999,369.862351,155.0,20.0,1,0.14454395845359902,-0.3099755192184447,0.9396926207869084,Triassic,a
785700.012,6345834.705,264.655753,165.0,25.0,1,0.10938165494761512,-0.4082178936757349,0.90630778703765,Triassic,a
785657.444,6346002.9,241.536206,115.0,10.0,1,0.15737869562526266,-0.07338689099903822,0.9848077530132081,Triassic,a
785945.8879999999,6346318.897999999,317.751413,250.0,10.0,1,-0.1631759111655348,-0.05939117461288467,0.9848077530132081,Triassic,a
786089.9040000001,6346474.402000001,343.500269,145.0,20.0,1,0.19617469497001105,-0.28016649959223555,0.9396926207869084,Triassic,a
786282.431,6346628.909,373.323447,110.0,1.0,1,0.0163998975450718,-0.0059690745500575295,0.9998476951573912,Triassic,a
786183.697,6346450.525,376.921814,80.0,1.0,1,0.01718726516915697,0.0030305785747368873,0.9998476951573912,Triassic,a
786777.163,6345815.552,349.445615,118.0,10.0,1,0.1533222404763554,-0.08152288134321582,0.9848077530132081,Triassic,a
786060.445,6345670.598999999,330.569192,235.0,30.0,1,-0.40957602214349575,-0.2867882181745232,0.8660254037854387,Triassic,a
785994.387,6345672.191000001,331.982139,210.0,30.0,1,-0.249999999999,-0.4330127018912193,0.8660254037854387,Triassic,a
785943.452,6345686.517000001,331.319711,205.0,10.0,1,-0.07338689099903821,-0.15737869562326265,0.9848077530132081,Triassic,a
